帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
4,7,1580.65,370.44,-7926.11,27648.19,105.0,8.65,1
4,15,1408.4,1080.0,-26287.45,86133.34,89.46,68.0,1
4,16,416.55,309.86,-132018.03,22654.93,0.0,3.58,0
4,18,736.8,798.73,-97879.08,62949.68,28.89,44.47,0
4,2,1351.26,704.78,-32378.24,55206.37,84.31,36.62,3
4,5,1183.93,635.36,-50215.18,49484.41,69.22,30.81,3
4,1,857.44,570.95,-85019.09,44174.93,39.77,25.42,3
4,4,1132.4,441.01,-55708.52,33465.28,64.57,14.55,3
4,10,924.9,267.02,-77828.38,19124.37,45.85,0.0,3
4,6,890.74,425.9,-81468.95,32219.47,42.77,13.29,3
4,11,662.43,627.7,-105807.27,48852.89,22.18,30.17,3
4,8,616.22,469.1,-110733.04,35780.35,18.01,16.9,3
4,3,980.23,340.72,-71930.1,25198.9,50.84,6.16,3
4,14,1190.4,511.34,-49525.57,39261.89,69.8,20.44,3
5,7,1579.41,370.13,3853.43,10700.42,105.0,15.27,1
5,15,1408.79,1080.0,-4085.2,28854.73,83.53,68.0,1
5,16,417.13,307.94,-34976.28,5444.53,0.0,0.0,0
5,1,852.78,571.64,-21170.58,13742.26,37.33,24.1,3
5,2,1350.19,704.71,-4884.45,18793.62,81.37,38.78,3
5,4,1129.92,440.95,-11458.61,11164.91,63.59,16.62,3
5,10,923.68,267.25,-17842.48,5950.68,46.33,1.47,3
5,8,615.21,467.96,-28824.17,10273.45,16.64,14.03,3
5,6,889.8,422.76,-19464.13,9938.47,41.95,13.05,3
5,11,659.75,625.61,-27819.52,14561.72,19.35,26.48,3
5,5,1180.98,637.06,-10354.83,16486.21,66.58,32.07,3
5,3,979.79,340.26,-16185.86,8047.16,50.81,7.56,3
5,14,1188.79,500.13,-9666.29,12906.0,68.44,21.67,3
5,18,736.12,802.48,-25806.16,19455.28,24.8,40.7,3
6,7,1579.66,369.15,7432.75,5613.1,105.0,25.52,1
6,20,1457.11,887.0,3905.96,10036.44,81.24,56.54,0
6,15,1408.09,1080.0,2552.53,11671.39,72.12,68.0,1
6,21,322.03,591.57,-8150.58,2635.82,0.0,4.65,0
6,1,850.45,573.14,-1906.6,4599.49,42.07,18.42,3
6,2,1347.8,704.17,3369.73,7857.2,77.62,41.26,3
6,8,615.02,469.29,-4234.91,2660.07,26.38,4.82,3
6,4,1129.0,441.97,1876.53,4480.85,67.56,17.58,3
6,10,923.03,265.72,185.08,1972.86,56.17,0.0,3
6,5,1178.53,634.93,1673.69,6514.35,66.2,31.84,3
6,6,889.98,421.43,-831.02,3318.31,49.32,9.43,3
6,3,978.53,342.29,523.15,2924.95,58.44,6.68,3
6,11,658.63,626.13,-4360.51,4326.43,25.54,16.5,3
6,14,1186.84,504.39,2299.08,5307.88,70.41,23.38,3
6,18,735.86,803.92,-4178.46,6328.01,26.76,30.54,3
7,7,1578.94,369.51,8498.83,4089.15,105.0,46.66,1
7,20,1456.9,886.72,5635.72,5867.75,56.42,62.27,0
7,15,1408.71,1080.0,4552.59,6521.24,38.05,68.0,1
7,16,418.43,303.97,2848.78,-1227.18,9.14,0.0,0
7,1,846.46,572.35,3875.44,1822.87,26.56,26.77,3
7,2,1346.49,701.94,5871.12,4565.61,60.42,50.84,3
7,8,614.51,467.19,3144.74,349.66,14.16,13.84,3
7,5,1175.34,641.52,5257.6,3555.19,50.01,41.97,3
7,11,657.4,622.82,2690.27,1229.5,6.45,21.56,3
7,4,1127.07,439.85,5883.81,2446.69,60.63,32.24,3
7,3,977.63,339.51,5554.15,1352.17,55.04,22.64,3
7,6,889.66,421.02,4751.44,1334.92,41.42,22.48,3
7,10,921.05,264.75,5588.48,773.78,55.62,17.56,3
7,14,1186.23,507.52,5893.39,3004.61,60.8,37.14,3
7,9,993.65,498.92,4945.96,2132.54,44.72,29.48,3
7,23,1188.75,518.96,5856.77,3066.54,60.17,37.68,3
7,18,736.38,803.95,2310.02,2379.32,0.0,31.65,3
8,7,1578.58,368.09,-3180.21,20474.57,105.0,9.54,1
8,15,1409.18,1080.0,-17069.66,62914.27,85.29,68.0,1
8,20,1456.02,887.62,-13235.43,51446.95,90.73,52.2,0
8,1,842.9,573.29,-59751.43,31815.23,24.7,25.16,3
8,2,1345.42,704.89,-21462.98,40353.7,79.05,36.92,3
8,8,613.66,464.46,-77154.83,24996.08,0.0,15.76,3
8,3,976.7,340.84,-49209.79,18060.16,39.67,6.21,3
8,5,1172.74,639.28,-34593.3,36197.91,60.41,31.2,3
8,11,655.5,621.55,-74156.4,34463.8,4.26,28.81,3
8,4,1125.72,440.72,-37933.84,24238.76,55.67,14.72,3
8,6,888.96,420.78,-56028.07,22736.54,29.99,12.65,3
8,10,920.41,266.84,-53421.37,13552.55,33.69,0.0,3
8,9,992.79,495.23,-48178.41,27332.37,41.13,18.98,3
8,23,1188.56,522.21,-33230.16,29203.52,62.35,21.56,3
8,14,1186.55,503.23,-33359.48,28063.44,62.16,19.99,3
8,18,735.88,803.98,-68242.19,45499.75,12.65,44.01,3
9,7,1578.29,366.54,5304.1,8481.53,105.0,19.29,1
