帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
4,1,393.77,659.08,5791.86,5615.35,40.76,49.57,1
4,2,860.85,419.44,5877.55,4163.75,41.94,31.31,1
4,3,639.69,341.63,4432.57,3419.1,22.08,21.95,1
4,4,933.92,648.51,7267.4,5719.78,61.03,50.88,1
4,5,882.67,488.29,6379.67,4726.44,48.83,38.39,1
4,7,606.99,468.85,5333.78,4547.92,34.46,36.15,1
4,8,618.36,395.3,4829.05,3948.14,27.53,28.6,1
4,9,964.44,429.31,6339.34,4255.29,48.28,32.47,1
4,10,768.24,325.42,4762.03,3211.04,26.61,19.33,1
4,11,943.36,351.85,5707.54,3478.19,39.6,22.69,0
4,12,1432.32,409.56,8351.45,4073.05,75.92,30.17,0
4,14,1193.34,421.08,7250.42,4187.46,60.8,31.61,0
4,15,1451.95,478.97,8677.15,4745.01,80.4,38.62,0
4,13,1094.31,346.92,6338.14,3391.91,48.26,21.61,0
4,16,1211.84,514.99,7749.53,4983.77,67.65,41.63,0
4,17,1490.75,667.96,9241.28,6018.56,88.15,54.64,0
4,18,926.06,330.52,5455.84,3232.25,36.14,19.6,1
4,19,924.56,233.45,4434.25,1822.81,22.11,1.88,1
4,20,1175.39,252.57,5947.81,1961.91,42.9,3.63,0
4,21,1394.17,317.44,7710.28,2903.38,67.11,15.47,0
4,23,964.23,521.29,6839.73,4976.83,55.15,41.54,0
4,6,1789.21,894.49,10467.8,7081.18,105.0,68.0,3
4,22,627.77,210.72,2825.24,1673.45,0.0,0.0,3
5,1,393.77,659.08,5791.89,5615.76,40.76,49.57,1
5,2,860.85,419.44,5877.69,4164.01,41.94,31.32,1
5,3,639.69,341.63,4432.48,3419.31,22.09,21.96,1
5,4,933.92,648.51,7267.55,5720.07,61.04,50.89,1
5,5,882.66,488.29,6379.79,4726.73,48.84,38.4,1
5,7,606.98,468.85,5333.78,4548.24,34.47,36.15,1
5,8,618.36,395.3,4829.02,3948.41,27.54,28.61,1
5,9,964.44,429.31,6339.53,4255.54,48.29,32.47,1
5,10,768.24,325.42,4762.02,3211.19,26.61,19.34,1
5,11,943.38,351.85,5707.82,3478.39,39.61,22.7,0
5,12,1432.32,409.56,8351.78,4073.2,75.93,30.18,0
5,14,1193.34,421.08,7250.71,4187.66,60.81,31.62,0
5,15,1451.95,478.97,8677.41,4745.15,80.41,38.63,0
5,13,1094.31,346.92,6338.4,3392.06,48.27,21.61,0
5,16,1211.84,514.99,7749.76,4984.0,67.66,41.63,0
5,17,1490.75,667.96,9241.37,6018.67,88.15,54.64,0
5,18,926.06,330.52,5455.99,3232.41,36.15,19.61,1
5,19,924.56,233.45,4434.25,1822.69,22.11,1.88,1
5,20,1175.39,252.59,5948.32,1962.21,42.91,3.63,0
5,21,1394.17,317.44,7710.72,2903.47,67.12,15.47,0
5,23,964.23,521.29,6839.92,4977.12,55.16,41.54,0
5,6,1789.21,894.49,10467.62,7081.08,105.0,68.0,3
5,22,627.77,210.72,2824.77,1673.28,0.0,0.0,3
6,1,393.77,659.08,5792.1,5615.83,40.76,49.57,1
6,2,860.85,419.44,5877.94,4164.25,41.94,31.32,1
6,3,639.69,341.63,4432.88,3419.61,22.09,21.95,1
6,4,933.92,648.51,7267.7,5720.17,61.03,50.89,1
6,5,882.66,488.29,6380.01,4726.92,48.84,38.39,1
6,7,606.98,468.85,5334.06,4548.42,34.47,36.15,1
6,8,618.36,395.3,4829.35,3948.64,27.53,28.61,1
6,9,964.43,429.3,6339.75,4255.78,48.29,32.47,1
6,10,768.24,325.42,4762.4,3211.55,26.61,19.34,1
6,11,943.38,351.85,5708.12,3478.73,39.61,22.7,0
6,12,1432.32,409.56,8351.9,4073.55,75.93,30.18,0
6,14,1193.34,421.08,7250.88,4187.94,60.8,31.62,0
6,13,1094.28,346.92,6338.5,3392.4,48.27,21.61,0
6,15,1451.95,478.97,8677.51,4745.39,80.4,38.63,0
6,16,1211.84,514.99,7749.9,4984.19,67.66,41.63,0
6,17,1490.75,667.97,9241.44,6018.8,88.15,54.64,0
6,18,926.06,330.52,5456.32,3232.79,36.15,19.6,1
6,19,924.56,233.45,4434.72,1823.29,22.11,1.88,1
6,20,1175.39,252.59,5948.66,1962.83,42.91,3.63,0
6,21,1394.17,317.43,7710.89,2903.97,67.12,15.47,0
6,23,964.23,521.29,6840.1,4977.28,55.16,41.54,0
