帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
4,1,394.12,659.28,5798.46,5622.1,41.28,49.8,0
4,3,860.28,420.22,5885.79,4179.42,42.47,31.82,0
4,2,933.82,649.06,7272.58,5728.32,61.42,51.13,0
4,4,882.99,488.25,6385.31,4734.1,49.3,38.73,0
4,9,639.6,341.65,4437.67,3428.5,22.69,22.46,0
4,5,607.02,469.17,5341.2,4558.12,35.03,36.54,0
4,7,617.91,395.46,4833.98,3958.13,28.1,29.06,0
4,8,965.46,429.74,6351.0,4268.08,48.83,32.92,0
4,10,943.19,352.02,5713.6,3490.0,40.12,23.22,1
4,12,767.78,325.96,4770.66,3227.0,27.24,19.95,0
4,14,1094.31,347.31,6346.25,3406.9,48.76,22.19,1
4,15,1193.27,421.02,7254.22,4196.23,61.17,32.03,1
4,13,1432.31,409.55,8354.94,4083.2,76.2,30.62,1
4,18,1452.1,478.99,8680.5,4753.95,80.65,38.98,1
4,16,1212.05,514.82,7753.22,4990.46,67.98,41.93,1
4,17,926.24,331.15,5467.5,3249.77,36.76,20.23,0
4,11,1175.41,253.12,5959.22,1983.57,43.48,4.44,1
4,19,1491.77,668.54,9246.58,6027.33,88.38,54.85,1
4,20,924.35,233.7,4441.53,1837.86,22.74,2.63,0
4,21,1394.43,317.76,7718.62,2920.13,67.51,16.12,1
4,22,964.93,520.76,6843.97,4980.84,55.56,41.81,1
4,6,1788.74,894.17,10463.03,7081.82,105.0,68.0,3
4,23,627.27,207.4,2776.61,1627.02,0.0,0.0,3
5,1,394.11,659.28,5797.81,5621.4,41.27,49.79,0
5,3,860.28,420.22,5884.78,4178.45,42.45,31.81,0
5,2,933.82,649.05,7271.95,5727.78,61.4,51.12,0
5,4,882.99,488.25,6384.38,4733.22,49.28,38.72,0
5,9,639.6,341.65,4436.95,3427.55,22.68,22.45,0
5,5,607.02,469.18,5340.41,4557.21,35.02,36.53,0
5,7,617.91,395.46,4833.23,3957.18,28.09,29.05,0
5,8,965.47,429.74,6349.96,4267.11,48.81,32.91,0
5,10,943.19,352.02,5712.45,3489.0,40.1,23.21,1
5,12,767.78,325.96,4769.75,3226.05,27.22,19.93,0
5,14,1094.31,347.32,6345.0,3406.01,48.74,22.18,1
5,15,1193.27,421.02,7253.03,4195.27,61.14,32.01,1
5,13,1432.32,409.56,8353.73,4082.26,76.18,30.61,1
5,18,1452.09,478.98,8679.54,4753.12,80.63,38.97,1
5,16,1212.04,514.83,7752.35,4989.74,67.96,41.92,1
5,17,926.24,331.15,5466.4,3248.85,36.74,20.22,0
5,11,1175.44,253.12,5957.8,1982.73,43.45,4.44,1
5,19,1491.83,668.53,9246.62,6027.1,88.37,54.85,1
5,20,924.35,233.7,4440.53,1837.2,22.73,2.62,0
5,21,1394.43,317.76,7716.91,2919.0,67.48,16.11,1
5,22,964.92,520.76,6843.07,4980.06,55.54,41.8,1
5,6,1788.75,894.18,10463.92,7082.45,105.0,68.0,3
5,23,627.27,207.4,2776.61,1626.65,0.0,0.0,3
6,1,394.11,659.28,5798.31,5622.14,41.28,49.8,0
6,3,860.28,420.22,5885.34,4179.39,42.47,31.82,0
6,2,933.82,649.06,7272.37,5728.43,61.42,51.12,0
6,4,882.99,488.25,6384.93,4734.09,49.29,38.73,0
6,9,639.6,341.65,4437.3,3428.48,22.69,22.46,0
6,5,607.02,469.17,5340.9,4558.11,35.03,36.54,0
6,7,617.91,395.46,4833.65,3958.1,28.1,29.06,0
6,8,965.47,429.75,6350.59,4268.11,48.82,32.92,0
6,10,943.19,352.02,5713.03,3489.93,40.12,23.22,1
6,12,767.78,325.96,4770.16,3226.94,27.24,19.94,0
6,14,1094.31,347.31,6345.6,3406.86,48.76,22.19,1
6,15,1193.27,421.01,7253.63,4196.12,61.16,32.02,1
6,13,1432.32,409.55,8354.32,4083.1,76.19,30.62,1
6,18,1452.08,478.98,8679.96,4753.93,80.64,38.98,1
6,16,1212.04,514.83,7752.83,4990.54,67.98,41.93,1
6,17,926.24,331.15,5466.91,3249.7,36.75,20.23,0
6,11,1175.43,253.12,5958.37,1983.43,43.47,4.44,1
6,19,1491.83,668.55,9246.66,6027.61,88.38,54.85,1
6,20,924.35,233.69,4440.8,1837.78,22.74,2.63,0
6,21,1394.43,317.76,7717.76,2919.96,67.5,16.12,1
6,22,964.92,520.76,6843.6,4980.89,55.56,41.81,1
6,6,1788.74,894.17,10463.2,7082.24,105.0,68.0,3
6,23,627.27,207.4,2776.19,1627.03,0.0,0.0,3
7,1,394.11,659.28,5798.22,5622.03,41.28,49.8,0
7,3,860.28,420.22,5885.23,4179.2,42.47,31.81,0
7,2,933.82,649.06,7272.31,5728.32,61.41,51.12,0
7,4,882.99,488.25,6384.84,4733.95,49.29,38.73,0
7,9,639.6,341.66,4437.22,3428.32,22.69,22.46,0
7,5,607.02,469.17,5340.79,4557.95,35.03,36.54,0
7,7,617.91,395.46,4833.54,3957.93,28.1,29.06,0
7,8,965.47,429.75,6350.47,4267.93,48.82,32.92,0
7,10,943.19,352.02,5712.89,3489.72,40.11,23.22,1
7,12,767.78,325.96,4770.0,3226.7,27.23,19.94,0
7,14,1094.31,347.32,6345.5,3406.7,48.75,22.19,1
7,15,1193.27,421.01,7253.51,4195.91,61.16,32.02,1
7,13,1432.31,409.55,8354.2,4082.84,76.19,30.61,1
7,18,1452.08,478.98,8679.91,4753.76,80.64,38.98,1
7,16,1212.04,514.83,7752.75,4990.39,67.98,41.93,1
7,17,926.24,331.15,5466.79,3249.52,36.75,20.23,0
7,11,1175.43,253.12,5958.17,1983.12,43.46,4.44,1
7,19,1491.82,668.54,9246.63,6027.44,88.38,54.85,1
7,20,924.35,233.7,4440.63,1837.53,22.74,2.63,0
7,21,1394.43,317.76,7717.6,2919.66,67.5,16.11,1
7,22,964.92,520.76,6843.51,4980.74,55.56,41.81,1
7,6,1788.75,894.17,10463.32,7082.24,105.0,68.0,3
7,23,627.27,207.4,2776.08,1626.83,0.0,0.0,3
8,1,394.11,659.28,5798.44,5622.08,41.28,49.8,0
8,3,860.28,420.22,5885.41,4179.22,42.46,31.81,0
