帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
4,1,394.12,659.28,3732.64,5596.45,16.23,54.35,0
4,3,860.28,420.22,4710.29,3655.4,43.02,35.67,0
4,2,933.82,649.05,5097.38,5636.34,53.63,54.74,0
4,4,882.99,488.25,4853.96,4376.89,46.96,42.61,0
4,9,639.6,341.65,3732.88,2585.47,16.24,25.36,0
4,5,607.02,469.17,3942.97,4142.57,22.0,40.36,0
4,7,617.91,395.46,3803.72,3319.7,18.18,32.43,0
4,8,965.46,429.75,5088.79,3782.03,53.39,36.88,0
4,10,943.19,352.02,4950.54,2775.13,49.61,27.19,1
4,12,767.78,325.96,4202.91,2356.41,29.12,23.16,0
4,14,1094.31,347.31,5558.86,2723.77,66.28,26.7,1
4,13,1432.31,409.55,6816.1,3619.63,100.73,35.32,1
4,15,1193.27,421.02,5905.8,3718.42,75.78,36.27,1
4,18,1452.1,478.99,6744.23,4390.69,98.76,42.74,1
4,16,1212.04,514.83,5906.38,4682.55,75.8,45.55,1
4,17,926.24,331.15,4861.53,2455.35,47.17,24.11,0
4,11,1175.41,253.12,5982.52,1023.4,77.88,10.33,1
4,19,1491.77,668.54,6567.7,5869.26,93.92,56.98,1
4,20,924.35,233.7,4724.89,583.4,43.42,6.09,0
4,21,1394.43,317.76,6887.58,2285.24,102.68,22.47,1
4,22,964.93,520.76,5131.79,4688.49,54.57,45.61,1
4,6,1788.74,894.17,6972.07,7013.9,105.0,68.0,3
4,23,627.27,207.4,3140.23,-49.07,0.0,0.0,3
5,1,394.11,659.28,3731.83,5595.42,16.19,54.34,0
5,3,860.28,420.22,4710.03,3653.82,43.0,35.65,0
5,2,933.82,649.05,5097.15,5635.25,53.6,54.73,0
5,4,882.99,488.25,4853.69,4375.35,46.93,42.6,0
5,9,639.6,341.65,3732.72,2584.13,16.22,25.35,0
5,5,607.02,469.18,3942.52,4141.09,21.97,40.34,0
5,7,617.91,395.46,3803.42,3318.23,18.15,32.42,0
5,8,965.47,429.74,5088.6,3780.39,53.37,36.87,0
5,10,943.19,352.02,4950.32,2773.68,49.58,27.17,1
5,12,767.78,325.96,4202.76,2355.12,29.1,23.14,0
5,14,1094.31,347.32,5558.64,2722.44,66.25,26.68,1
5,15,1193.27,421.02,5905.69,3716.75,75.76,36.25,1
5,13,1432.32,409.56,6816.05,3617.97,100.7,35.3,1
5,18,1452.08,478.98,6744.32,4389.0,98.74,42.73,1
5,16,1212.04,514.83,5906.36,4681.06,75.78,45.54,1
5,17,926.24,331.15,4861.34,2454.08,47.14,24.1,0
5,11,1175.44,253.12,5982.23,1022.87,77.85,10.32,1
5,19,1491.83,668.53,6568.27,5868.17,93.91,56.97,1
5,20,924.35,233.7,4724.82,583.28,43.4,6.08,0
5,21,1394.43,317.76,6887.21,2283.84,102.65,22.46,1
5,22,964.92,520.76,5131.55,4687.03,54.55,45.6,1
5,6,1788.75,894.18,6972.97,7013.7,105.0,68.0,3
5,23,627.27,207.4,3140.84,-48.55,0.0,0.0,3
6,1,394.11,659.28,3732.3,5596.27,16.22,54.35,0
6,3,860.28,420.22,4710.08,3654.65,43.01,35.66,0
6,2,933.82,649.06,5097.22,5635.98,53.62,54.74,0
6,4,882.99,488.25,4853.77,4376.22,46.95,42.61,0
