帧号,球员ID,画面X,画面Y,雷达X,雷达Y,真实X(米),真实Y(米),队伍
4,1,394.12,659.28,5798.43,5621.92,41.28,49.8,0
4,3,860.28,420.22,5885.6,4179.35,42.47,31.82,0
4,2,933.82,649.05,7272.48,5728.19,61.42,51.13,0
4,4,882.99,488.25,6385.15,4734.0,49.3,38.73,0
4,9,639.6,341.65,4437.53,3428.45,22.69,22.46,0
4,5,607.02,469.17,5341.09,4558.0,35.03,36.54,0
4,7,617.91,395.46,4833.86,3958.04,28.1,29.06,0
4,8,965.46,429.75,6350.8,4268.02,48.83,32.92,0
4,10,943.19,352.02,5713.35,3489.96,40.12,23.22,1
4,12,767.78,325.96,4770.46,3226.97,27.24,19.94,0
4,14,1094.31,347.31,6345.95,3406.88,48.76,22.19,1
4,13,1432.31,409.55,8354.64,4083.18,76.2,30.62,1
4,15,1193.27,421.02,7253.96,4196.19,61.16,32.03,1
4,18,1452.1,478.99,8680.27,4753.93,80.65,38.98,1
4,16,1212.04,514.83,7753.02,4990.4,67.98,41.93,1
4,17,926.24,331.15,5467.24,3249.75,36.76,20.23,0
4,11,1175.41,253.12,5958.79,1983.62,43.47,4.44,1
4,19,1491.77,668.54,9246.47,6027.29,88.38,54.85,1
4,20,924.35,233.7,4441.21,1837.91,22.74,2.63,0
4,21,1394.43,317.76,7718.21,2920.13,67.51,16.12,1
4,22,964.93,520.76,6843.81,4980.74,55.56,41.81,1
4,6,1788.74,894.17,10463.05,7081.81,105.0,68.0,3
4,23,627.27,207.4,2776.45,1627.1,0.0,0.0,3
5,1,394.11,659.28,5797.28,5621.18,41.26,49.79,0
5,3,860.28,420.22,5884.58,4178.18,42.45,31.8,0
5,2,933.82,649.05,7271.53,5727.51,61.4,51.11,0
5,4,882.99,488.25,6384.09,4732.94,49.27,38.72,0
5,9,639.6,341.65,4436.84,3427.34,22.67,22.45,0
5,5,607.02,469.18,5340.09,4556.97,35.01,36.52,0
5,7,617.91,395.46,4833.02,3956.94,28.09,29.05,0
5,8,965.47,429.74,6349.76,4266.82,48.8,32.91,0
5,10,943.19,352.02,5712.39,3488.74,40.1,23.21,1
5,12,767.78,325.96,4769.71,3225.83,27.22,19.93,0
5,14,1094.31,347.32,6344.99,3405.7,48.74,22.18,1
5,15,1193.27,421.02,7252.91,4194.93,61.14,32.01,1
5,13,1432.32,409.56,8353.71,4081.88,76.18,30.6,1
5,18,1452.08,478.98,8679.42,4752.75,80.63,38.97,1
5,16,1212.04,514.83,7752.11,4989.42,67.96,41.92,1
5,17,926.24,331.15,5466.39,3248.6,36.74,20.22,0
5,11,1175.44,253.12,5958.06,1982.49,43.45,4.44,1
5,19,1491.83,668.53,9246.35,6026.79,88.37,54.85,1
5,20,924.35,233.7,4440.82,1837.07,22.73,2.62,0
5,21,1394.43,317.76,7717.06,2918.66,67.48,16.1,1
5,22,964.92,520.76,6842.76,4979.77,55.54,41.79,1
5,6,1788.75,894.18,10463.63,7082.19,105.0,68.0,3
5,23,627.27,207.4,2776.91,1626.58,0.0,0.0,3
6,1,394.11,659.28,5798.5,5622.03,41.28,49.8,0
6,3,860.28,420.22,5885.52,4179.39,42.47,31.82,0
6,2,933.82,649.06,7272.54,5728.32,61.42,51.13,0
6,4,882.99,488.25,6385.12,4734.07,49.3,38.73,0
6,9,639.6,341.65,4437.43,3428.48,22.69,22.46,0
6,5,607.02,469.17,5341.08,4558.07,35.04,36.54,0
6,7,617.91,395.46,4833.81,3958.09,28.11,29.06,0
6,8,965.47,429.75,6350.76,4268.11,48.83,32.92,0
6,10,943.19,352.02,5713.19,3489.97,40.12,23.22,1
6,12,767.78,325.96,4770.3,3226.96,27.24,19.94,0
6,14,1094.31,347.31,6345.77,3406.92,48.76,22.19,1
6,15,1193.27,421.01,7253.79,4196.15,61.16,32.03,1
6,13,1432.32,409.55,8354.47,4083.17,76.2,30.62,1
6,18,1452.08,478.98,8680.09,4753.95,80.64,38.98,1
6,16,1212.04,514.83,7752.98,4990.51,67.98,41.93,1
6,17,926.24,331.15,5467.07,3249.74,36.76,20.23,0
6,11,1175.43,253.12,5958.51,1983.51,43.47,4.44,1
6,19,1491.83,668.55,9246.74,6027.49,88.38,54.85,1
6,20,924.35,233.7,4440.9,1837.83,22.74,2.63,0
6,21,1394.43,317.76,7717.93,2920.09,67.5,16.12,1
6,22,964.92,520.76,6843.77,4980.84,55.56,41.81,1
6,6,1788.74,894.18,10463.16,7081.99,105.0,68.0,3
6,23,627.27,207.4,2776.19,1627.02,0.0,0.0,3
7,1,394.11,659.28,5798.33,5621.97,41.28,49.8,0
7,3,860.28,420.22,5885.24,4179.23,42.47,31.82,0
7,2,933.82,649.06,7272.33,5728.29,61.42,51.12,0
7,4,882.99,488.25,6384.86,4733.95,49.29,38.73,0
7,9,639.6,341.66,4437.23,3428.34,22.69,22.46,0
7,5,607.02,469.17,5340.85,4557.94,35.03,36.54,0
7,7,617.91,395.46,4833.58,3957.94,28.1,29.06,0
7,8,965.47,429.75,6350.46,4267.94,48.82,32.92,0
7,10,943.19,352.02,5712.85,3489.74,40.11,23.22,1
7,12,767.78,325.96,4769.97,3226.72,27.24,19.94,0
7,14,1094.31,347.32,6345.44,3406.73,48.76,22.19,1
7,15,1193.27,421.01,7253.48,4195.95,61.16,32.02,1
7,13,1432.31,409.55,8354.16,4082.89,76.19,30.61,1
7,18,1452.08,478.99,8679.88,4753.82,80.64,38.98,1
7,16,1212.04,514.83,7752.73,4990.41,67.98,41.93,1
7,17,926.24,331.15,5466.73,3249.53,36.75,20.23,0
7,11,1175.43,253.12,5958.01,1983.08,43.46,4.44,1
7,19,1491.82,668.54,9246.6,6027.45,88.38,54.85,1
7,20,924.35,233.7,4440.49,1837.51,22.74,2.63,0
7,21,1394.43,317.76,7717.52,2919.67,67.5,16.12,1
7,22,964.92,520.76,6843.52,4980.74,55.56,41.81,1
7,6,1788.75,894.17,10463.26,7082.21,105.0,68.0,3
7,23,627.27,207.4,2775.97,1626.82,0.0,0.0,3
8,1,394.11,659.28,5797.63,5621.87,41.26,49.8,0
8,3,860.28,420.22,5885.01,4178.75,42.46,31.81,0
8,2,933.82,649.06,7271.97,5728.08,61.4,51.12,0
8,4,882.99,488.25,6384.55,4733.53,49.28,38.72,0
8,9,639.6,341.66,4437.12,3427.93,22.68,22.45,0
8,5,607.02,469.17,5340.39,4557.54,35.02,36.53,0
8,7,617.91,395.46,4833.28,3957.51,28.09,29.05,0
8,8,965.46,429.75,6350.27,4267.45,48.81,32.91,0
8,10,943.19,352.02,5712.81,3489.22,40.11,23.21,1
8,12,767.78,325.96,4769.97,3226.29,27.23,19.94,0
8,14,1094.31,347.32,6345.5,3406.22,48.75,22.18,1
8,15,1193.27,421.01,7253.41,4195.39,61.15,32.02,1
8,13,1432.31,409.55,8354.19,4082.27,76.19,30.61,1
8,18,1452.08,478.98,8679.88,4753.22,80.63,38.97,1
8,16,1212.04,514.83,7752.6,4989.94,67.97,41.92,1
8,17,926.24,331.14,5466.76,3249.03,36.74,20.22,0
8,11,1175.43,253.12,5958.5,1982.86,43.46,4.44,1
8,19,1491.82,668.55,9246.67,6027.24,88.38,54.85,1
8,20,924.35,233.7,4441.12,1837.38,22.74,2.63,0
8,21,1394.43,317.76,7717.69,2919.2,67.49,16.11,1
8,22,964.92,520.76,6843.23,4980.34,55.55,41.8,1
8,6,1788.74,894.18,10463.66,7082.32,105.0,68.0,3
8,23,627.27,207.4,2776.69,1626.72,0.0,0.0,3
9,1,394.11,659.28,5798.27,5621.94,41.28,49.8,0
9,3,860.28,420.22,5885.2,4179.17,42.47,31.82,0
9,2,933.82,649.06,7272.3,5728.27,61.42,51.12,0
9,4,882.99,488.25,6384.83,4733.91,49.29,38.73,0
9,9,639.6,341.66,4437.19,3428.28,22.69,22.46,0
9,5,607.02,469.17,5340.78,4557.87,35.03,36.54,0
9,7,617.91,395.46,4833.53,3957.88,28.11,29.06,0
9,8,965.47,429.75,6350.43,4267.89,48.82,32.92,0
9,10,943.19,352.02,5712.8,3489.65,40.12,23.22,1
9,12,767.78,325.96,4769.92,3226.64,27.24,19.94,0
9,14,1094.31,347.32,6345.42,3406.66,48.76,22.19,1
9,15,1193.27,421.01,7253.46,4195.9,61.16,32.02,1
9,13,1432.31,409.55,8354.17,4082.85,76.19,30.62,1
9,18,1452.08,478.98,8679.87,4753.77,80.64,38.98,1
9,16,1212.04,514.83,7752.72,4990.37,67.98,41.93,1
9,17,926.24,331.15,5466.7,3249.45,36.75,20.23,0
9,11,1175.43,253.12,5958.0,1982.99,43.46,4.44,1
9,19,1491.83,668.54,9246.63,6027.44,88.38,54.85,1
9,20,924.35,233.7,4440.48,1837.43,22.74,2.63,0
9,21,1394.45,317.76,7717.63,2919.66,67.5,16.12,1
